layer,fold,accuracy,f1_weighted
0,1,0.8222222222222222,0.8126024565879638
0,2,0.8333333333333334,0.8216322055137844
0,3,0.8222222222222222,0.7945331574743338
0,4,0.8666666666666667,0.8593835177168512
0,5,0.7777777777777778,0.7533305198751422
1,1,0.8555555555555555,0.8467885474407214
1,2,0.8777777777777778,0.8721827034907531
1,3,0.8444444444444444,0.82755494525387
1,4,0.9,0.8991286571721356
1,5,0.8333333333333334,0.8172662175107547
2,1,0.8888888888888888,0.888304528662585
2,2,0.9,0.8976248702564492
2,3,0.8888888888888888,0.8830434102934103
2,4,0.9222222222222223,0.9219934158702274
2,5,0.8777777777777778,0.8703690726879134
3,1,0.8888888888888888,0.883739698778062
3,2,0.9222222222222223,0.918455705514529
3,3,0.8888888888888888,0.8823731823731824
3,4,0.9111111111111111,0.9111902757736091
3,5,0.9222222222222223,0.9132953865306805
4,1,0.8888888888888888,0.8881975767909273
4,2,0.9333333333333333,0.9294127762215998
4,3,0.8888888888888888,0.8752405002405002
4,4,0.8777777777777778,0.8712052896110868
4,5,0.8888888888888888,0.86984533984534
5,1,0.9,0.8951483204057575
5,2,0.9,0.8820053688141923
5,3,0.9,0.8841878455603945
5,4,0.8777777777777778,0.8711187521317685
5,5,0.8777777777777778,0.8582051282051283
6,1,0.9,0.8973827997016404
6,2,0.9111111111111111,0.897023029439696
6,3,0.9222222222222223,0.908914844052099
6,4,0.8777777777777778,0.8705401551015585
6,5,0.8777777777777778,0.8553101756000306
7,1,0.8888888888888888,0.8820505926374044
7,2,0.8888888888888888,0.8657497707735066
7,3,0.8888888888888888,0.8713140563140563
7,4,0.8888888888888888,0.8805986346337225
7,5,0.8888888888888888,0.8797971781305116
8,1,0.8666666666666667,0.8527168946190684
8,2,0.8777777777777778,0.8621910907537043
8,3,0.9,0.8818454385121052
8,4,0.8777777777777778,0.8647256187607065
8,5,0.8777777777777778,0.8682223034141193
9,1,0.8666666666666667,0.8490840077796601
9,2,0.8777777777777778,0.8649614616250773
9,3,0.8666666666666667,0.8394909411576077
9,4,0.8666666666666667,0.8573182113532991
9,5,0.9,0.8897948347948347
10,1,0.8777777777777778,0.86909255599473
10,2,0.8555555555555555,0.8394162757320651
10,3,0.8666666666666667,0.8361417348084014
10,4,0.8888888888888888,0.8779698950287184
10,5,0.8777777777777778,0.8577256201270201
11,1,0.8111111111111111,0.7976843238971385
11,2,0.8666666666666667,0.8494356261022927
11,3,0.8333333333333334,0.8037469654528477
11,4,0.8666666666666667,0.8587381056946275
11,5,0.8666666666666667,0.8549842106363845
12,1,0.8777777777777778,0.8619209020681672
12,2,0.8444444444444444,0.8230511463844798
12,3,0.8333333333333334,0.7973771043771042
12,4,0.8444444444444444,0.8345354923340788
12,5,0.8555555555555555,0.849428655080829
